movie_id,original_title,clean_title,year,genres_text,director,top_cast,overview
1,Toy Story (1995),Toy Story,1995,"Family, Comedy, Animation, Adventure",John Lasseter,"Tom Hanks, Tim Allen, Don Rickles","Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences."
2,GoldenEye (1995),GoldenEye,1995,"Adventure, Action, Thriller",Martin Campbell,"Pierce Brosnan, Sean Bean, Izabella Scorupco","When a powerful satellite system falls into the hands of Alec Trevelyan, AKA Agent 006, a former ally-turned-enemy, only James Bond can save the world from a dangerous space weapon that -- in one short pulse -- could destroy the earth! As Bond squares off against his former compatriot, he also battles Xenia Onatopp, an assassin who uses pleasure as her ultimate weapon."
3,Four Rooms (1995),Four Rooms,1995,Comedy,"Robert Rodriguez, Alexandre Rockwell, Allison Anders, Quentin Tarantino","Tim Roth, Jennifer Beals, David Proval",It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.
4,Get Shorty (1995),Get Shorty,1995,"Comedy, Thriller, Crime",Barry Sonnenfeld,"John Travolta, Gene Hackman, Rene Russo","Chili Palmer is a Miami mobster who gets sent to L.A. to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different."
5,Copycat (1995),Copycat,1995,"Thriller, Crime, Mystery",Jon Amiel,"Sigourney Weaver, Holly Hunter, Dermot Mulroney",An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.
6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Shanghai Triad (Yao a yao yao dao waipo qiao),1995,Unknown,Unknown Director,Unknown Cast,A movie titled Shanghai Triad (Yao a yao yao dao waipo qiao) released in 1995.
7,Twelve Monkeys (1995),Twelve Monkeys,1995,"Science Fiction, Thriller, Mystery",Terry Gilliam,"Bruce Willis, Madeleine Stowe, Brad Pitt","In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly and the son of a famous virus expert who may hold the key to the Army of the 12 Monkeys; thought to be responsible for unleashing the killer disease."
8,Babe (1995),Babe,1995,"Fantasy, Drama, Comedy, Family",Chris Noonan,"Christine Cavanaugh, Miriam Margolyes, Danny Mann","Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mum, Babe realises that he has the makings to become the greatest sheep pig of all time, and Farmer Hoggett knows it. With the help of the sheep dogs, Babe learns that a pig can be anything that he wants to be."
9,Dead Man Walking (1995),Dead Man Walking,1995,Drama,Tim Robbins,"Susan Sarandon, Sean Penn, Robert Prosky",A death row inmate turns for spiritual guidance to a local nun in the days leading up to his scheduled execution for the murders of a young couple.
10,Richard III (1995),Richard III,1995,"Drama, War",Richard Loncraine,"Ian McKellen, Annette Bening, Jim Broadbent","A murderous lust for the British throne sees Richard III descend into madness. Though the setting is transposed to the 1930s, England is torn by civil war, split between the rivaling houses of York and Lancaster. Richard aspires to a fascist dictatorship, but must first remove the obstacles to his ascension—among them his brother, his nephews and his brother's wife. When the Duke of Buckingham deserts him, Richard's plans are compromised."
