movie_id,original_title,clean_title,year,genres_text,director,top_cast,overview,llm_profile
1,Toy Story (1995),Toy Story,1995.0,"Family, Comedy, Animation, Adventure",John Lasseter,"Tom Hanks, Tim Allen, Don Rickles","Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.","A pioneering CGI adventure exploring themes of friendship, loyalty, and existential purpose through the secret lives of toys. The film masterfully blends buddy-comedy dynamics with a heartfelt journey of self-discovery, balancing slapstick humor with genuine emotional stakes. Its core is a resonant story about overcoming jealousy and finding one's place in a changing world. A timeless, visually inventive tale that appeals universally to both children and adults."
2,GoldenEye (1995),GoldenEye,1995.0,"Adventure, Action, Thriller",Martin Campbell,"Pierce Brosnan, Sean Bean, Izabella Scorupco","When a powerful satellite system falls into the hands of Alec Trevelyan, AKA Agent 006, a former ally-turned-enemy, only James Bond can save the world from a dangerous space weapon that -- in one short pulse -- could destroy the earth! As Bond squares off against his former compatriot, he also battles Xenia Onatopp, an assassin who uses pleasure as her ultimate weapon.","GoldenEye revitalizes the Bond franchise with a post-Cold War identity crisis, pitting 007 against a former ally whose betrayal is rooted in shared history. Its narrative blends classic espionage spectacle with a more introspective, morally ambiguous edge, exploring themes of obsolescence and vengeance. The tone balances sleek, high-tech action with a darker emotional undercurrent, appealing both to traditional fans and a new generation seeking a grittier, more psychologically complex hero."
3,Four Rooms (1995),Four Rooms,1995.0,Comedy,"Robert Rodriguez, Alexandre Rockwell, Allison Anders, Quentin Tarantino","Tim Roth, Jennifer Beals, David Proval",It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,"A surreal anthology of hotel hijinks, this dark comedy unfolds as a series of escalating, interconnected vignettes. The film thrives on manic energy and absurdist humor, each segment offering a distinct, twisted snapshot of human eccentricity. With a tone that veers from darkly whimsical to outright chaotic, it’s a cult favorite for audiences who relish offbeat, stylized storytelling and a celebration of cinematic mischief."
4,Get Shorty (1995),Get Shorty,1995.0,"Comedy, Thriller, Crime",Barry Sonnenfeld,"John Travolta, Gene Hackman, Rene Russo","Chili Palmer is a Miami mobster who gets sent to L.A. to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.","A sly satire of Hollywood's underbelly, *Get Shorty* blurs the line between crime and filmmaking with a cool, self-aware swagger. The film navigates a world where pitching a story and shaking down a debtor operate by the same cynical rules. Its tone is a dry, witty comedy-thriller, celebrating the artifice of both industries while delivering sharp, character-driven laughs. This is a smart, stylish film for audiences who enjoy meta-humor and a behind-the-curtain look at the business of storytelling."
5,Copycat (1995),Copycat,1995.0,"Thriller, Crime, Mystery",Jon Amiel,"Sigourney Weaver, Holly Hunter, Dermot Mulroney",An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,"A tense psychological thriller that explores the dark legacy of violence through a cat-and-mouse game between intellect and obsession. The narrative is a cerebral procedural, weaving claustrophobic fear with investigative urgency. Its tone is persistently anxious and grim, dissecting the psychology of both hunter and hunted. This film targets audiences who appreciate methodical, character-driven crime stories more than visceral action, offering a chilling study of fear, trauma, and the haunting repetition of history."
6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Shanghai Triad (Yao a yao yao dao waipo qiao),1995.0,Unknown,Unknown Director,Unknown Cast,A movie titled Shanghai Triad (Yao a yao yao dao waipo qiao) released in 1995.,"A descent into a glittering underworld, *Shanghai Triad* is a haunting gangster saga seen through the innocent eyes of a teenage boy. The film masterfully contrasts opulent, performative power with brutal, unseen violence, crafting a chilling portrait of corruption and lost innocence. Its deliberate pacing and atmospheric tension create a fable-like quality, appealing to viewers who appreciate morally complex, visually sumptuous, and psychologically nuanced historical dramas."
7,Twelve Monkeys (1995),Twelve Monkeys,1995.0,"Science Fiction, Thriller, Mystery",Terry Gilliam,"Bruce Willis, Madeleine Stowe, Brad Pitt","In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly and the son of a famous virus expert who may hold the key to the Army of the 12 Monkeys; thought to be responsible for unleashing the killer disease.","A fractured, feverish odyssey through time and madness, this film interrogates memory, fate, and sanity. Its dystopian future is bleak, but its past is a chaotic, cluttered labyrinth. The narrative spirals, blurring lines between prophecy, delusion, and grim reality, creating a profound sense of tragic inevitability. With a tone of paranoid melancholy and a visually dense, off-kilter style, it targets viewers who relish philosophical sci-fi puzzles and unsettling, emotionally resonant thrillers."
8,Babe (1995),Babe,1995.0,"Fantasy, Drama, Comedy, Family",Chris Noonan,"Christine Cavanaugh, Miriam Margolyes, Danny Mann","Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mum, Babe realises that he has the makings to become the greatest sheep pig of all time, and Farmer Hoggett knows it. With the help of the sheep dogs, Babe learns that a pig can be anything that he wants to be.","A gentle fable about defying destiny, *Babe* is a heartwarming blend of pastoral drama and whimsical fantasy. Through the earnest journey of a pig who dreams of herding sheep, the film champions individuality and quiet courage over ingrained tradition. Its emotional core—a bond of mutual respect between animal and man—is delivered with a tender, often humorous tone, making it a profoundly uplifting tale for all ages about finding one's purpose through kindness."
9,Dead Man Walking (1995),Dead Man Walking,1995.0,Drama,Tim Robbins,"Susan Sarandon, Sean Penn, Robert Prosky",A death row inmate turns for spiritual guidance to a local nun in the days leading up to his scheduled execution for the murders of a young couple.,"A stark, morally complex drama that navigates the harrowing final days of a condemned man. Through the evolving relationship between a conflicted nun and an unrepentant inmate, the film meticulously dissects themes of guilt, redemption, and the profound human cost of state-sanctioned death. Its unflinching, intimate style fosters deep empathy without offering easy answers, creating a somber and challenging meditation on justice, compassion, and the possibility of grace in the darkest of places."
10,Richard III (1995),Richard III,1995.0,"Drama, War",Richard Loncraine,"Ian McKellen, Annette Bening, Jim Broadbent","A murderous lust for the British throne sees Richard III descend into madness. Though the setting is transposed to the 1930s, England is torn by civil war, split between the rivaling houses of York and Lancaster. Richard aspires to a fascist dictatorship, but must first remove the obstacles to his ascension—among them his brother, his nephews and his brother's wife. When the Duke of Buckingham deserts him, Richard's plans are compromised.","This audacious adaptation transposes Shakespeare's timeless tragedy to a fictional 1930s Britain, reimagining Richard's Machiavellian rise as a chilling fascist coup. The film's core is a sleek, art-deco nightmare of political theater, where betrayal is conducted over telephones and tyranny arrives in sleek automobiles. Its tone is one of icy, stylish malevolence, blending classical language with the ominous aesthetics of pre-war totalitarianism. This bold reinterpretation targets audiences who appreciate Shakespeare's psychological depth delivered through a visually striking and politically resonant modern allegory."
